1	9277
1	16550
1	19575
1	22736
1	35388
1	40735
1	43174
2	10774
2	15697
2	27667
2	27701
2	31467
2	37151
2	46023
3	1821
3	14405
3	25838
3	33132
3	37442
3	43459
3	46513
4	16501
4	20254
4	27720
4	36933
4	37984
4	40341
4	49689
5	8881
5	11904
5	25466
5	34958
5	35679
5	46138
5	49675
6	2799
6	4136
6	5360
6	35037
6	37459
6	45006
6	47345
7	2406
7	10582
7	22072
7	23523
7	25587
7	26738
7	43548
8	4808
8	12824
8	21673
8	31688
8	38665
8	41994
8	44339
9	11841
9	23726
9	31546
9	37953
9	39956
9	45427
9	47776
10	23415
10	36362
10	36422
10	42105
10	42309
10	45402
10	48464
11	15026
11	29837
11	31039
11	31144
11	40752
11	45091
11	48768
12	4155
12	18758
12	21062
12	39298
12	39437
12	40033
12	48765
13	18182
13	21816
13	27011
13	37413
13	43967
13	44690
13	44926
14	19
14	699
14	11575
14	14843
14	27814
14	41879
14	45354
15	1339
15	1543
15	2160
15	26092
15	35398
15	39108
15	47679
16	2360
16	14914
16	32102
16	33024
16	35913
16	41906
16	46557
17	8039
17	21174
17	32263
17	35899
17	44750
17	45029
17	45335
18	6538
18	17588
18	18194
18	21381
18	35785
18	38604
18	42168
19	15659
19	23206
19	29144
19	33493
19	42154
19	43583
20	814
20	1575
20	20563
20	28868
20	33292
20	38096
20	38897
21	12193
21	19846
21	25329
21	32296
21	37358
21	44128
21	44969
22	9568
22	14870
22	28274
22	36294
22	37478
22	38698
22	45534
23	15516
23	19446
23	24249
23	26241
23	30537
23	34467
23	41207
24	14654
24	15594
24	21148
24	34173
24	35092
24	36204
24	45411
25	4533
25	9956
25	21982
25	26581
25	33302
25	40850
25	48937
26	1819
26	11411
26	17085
26	25703
26	27965
26	33422
26	46503
27	10248
27	10771
27	11271
27	31360
27	36564
27	47354
27	48414
28	16362
28	25608
28	31366
28	34130
28	37302
28	44476
28	44985
29	9277
29	14614
29	16607
29	19645
29	27794
29	33277
29	36042
30	11577
30	13664
30	14855
30	35429
30	37447
30	45647
30	47517
31	10723
31	15597
31	19379
31	28488
31	35941
31	42795
31	49862
32	3439
32	7019
32	7387
32	15008
32	15863
32	41068
32	48184
33	16200
33	16317
33	16697
